ID,Name,1C vs 1A,2C vs 2A,3C vs 3A,1C vs 2C,2C vs 3C,1C vs 3C,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A,1C,2C,3C,1A,2A,3A
25557,,12.59168943,5.126954566,1.291265447,2.636024261,9.642953687,25.41905987,2537,2383.5,233.5,587,198.5,134.5,2482.5,2316,168.5,143,149,62,21.30901288,8.083769634,0.838308458,1.692307692,1.576719577,0.64921466
49092,,N/A,1.790575916,N/A,2.674949176,0.74054683,1.980925131,112.5,125.5,123,128.5,59.5,66,62,57,54,-190.5,10.5,-7.5,0.532188841,0.19895288,0.268656716,N/A,0.111111111,N/A
50026,,N/A,1.057772161,N/A,3.199640039,0.598587828,1.915265583,107,119,114.5,139.5,63,70.5,60.5,46.5,54.5,-176.5,14.5,-11.5,0.519313305,0.162303665,0.271144279,N/A,0.153439153,N/A
49425,,N/A,1.401832461,N/A,2.94745645,0.510233222,1.503890202,130.5,136,161,130,64.5,66,81.5,68,93.5,-186,16,-11.5,0.699570815,0.237347295,0.465174129,N/A,0.169312169,N/A
24136,,2.842763727,2.212788686,0.140310824,2.044952216,11.53390601,23.58628665,4617,5562.5,388.5,1476.5,869,1328.5,4566,5491,334,1165,818.5,1131,39.19313305,19.16579407,1.661691542,13.78698225,8.661375661,11.84293194
49166,,N/A,1.136125654,N/A,4.521805344,0.410352662,1.855534861,103.5,100.5,110.5,118,60.5,64.5,57,31,53,-166.5,9,-13,0.489270386,0.108202443,0.263681592,N/A,0.095238095,N/A
49591,,N/A,2.576897906,N/A,2.360858369,0.538014326,1.270175623,111,135.5,141,87.5,62,64.5,60,62.5,81.5,-133,8,-11.5,0.515021459,0.218150087,0.405472637,N/A,0.084656085,N/A
47498,,N/A,1.998460117,N/A,2.07721155,0.491576735,1.021108873,93.5,118.5,146,121.5,59,66,43.5,51.5,73.5,-61.5,8.5,-14.5,0.373390558,0.179755672,0.365671642,N/A,0.08994709,N/A
47279,,N/A,13.98534031,N/A,1.914021378,0.972111008,1.860641252,131.5,171.5,155.5,149,57,77,82.5,106,76.5,-95.5,2.5,-12,0.708154506,0.369982548,0.380597015,N/A,0.026455026,N/A
49667,,N/A,3.17473822,N/A,3.06604983,0.534860816,1.639909914,93.5,112,117,119.5,59.5,65,48,38.5,50.5,-104.5,4,-10,0.412017167,0.134380454,0.251243781,N/A,0.042328042,N/A
49894,,N/A,1.727748691,N/A,1.900312134,0.643106457,1.222103004,89.5,128.5,125,129.5,62.5,72.5,42.5,55,60,-100,10.5,-3,0.364806867,0.191972077,0.298507463,N/A,0.111111111,N/A
48547,,N/A,1.735260642,N/A,4.003866208,0.701570681,2.808995141,143.5,132.5,121,157,65.5,72,98.5,60.5,60.5,-92.5,11.5,-3,0.845493562,0.211169284,0.300995025,N/A,0.121693122,N/A
50407,,N/A,6.417719805,5.147180763,2.29469785,3.480098959,7.985775598,1099.5,1202,295,280,117,103.5,1053,1128.5,227.5,-32,58,21,9.038626609,3.938917976,1.131840796,N/A,0.613756614,0.219895288
50438,,N/A,0.433507853,2.850746269,4.009610002,0.488973505,1.960593055,126.5,119,128,128.5,84.5,91.5,75,46,66,-133.5,35,11,0.643776824,0.160558464,0.328358209,N/A,0.37037037,0.115183246
10899,spike_control_j,53.67381974,1.547724527,N/A,2.983325125,0.375401855,1.119945787,88.5,100.5,113.5,71,61,67,37,30.5,57,0.5,6.5,-7,0.317596567,0.106457243,0.28358209,0.00591716,0.068783069,N/A
49962,,N/A,12.53403141,N/A,4.336006325,0.24017735,1.041410509,88.5,90.5,124,101,50,67.5,33.5,19,55.5,-145.5,0.5,-5.5,0.287553648,0.066317627,0.276119403,N/A,0.005291005,N/A
50068,,N/A,3.463350785,N/A,5.152667075,0.245549738,1.265236052,98.5,97.5,123.5,90,53,64,44,21,60,-181.5,2,-10,0.377682403,0.073298429,0.298507463,N/A,0.021164021,N/A
49947,,N/A,6.720549738,N/A,3.605861134,1.030234423,3.714882264,174,150.5,119.5,131,56,56.5,119.5,81.5,55.5,-151.5,4,-15,1.025751073,0.284467714,0.276119403,N/A,0.042328042,N/A
47442,,N/A,3.628272251,N/A,4.434061647,0.453957499,2.012875536,116.5,102.5,111,94.5,54.5,71,59.5,33,51,-178.5,3,-10.5,0.510729614,0.115183246,0.253731343,N/A,0.031746032,N/A
49629,,N/A,1.862642439,N/A,3.740075107,0.31620087,1.182615003,128.5,117,169,120.5,61,70.5,73,48,106.5,-176.5,8.5,-6.5,0.626609442,0.167539267,0.529850746,N/A,0.08994709,N/A
27348,,N/A,23.54517099,2.99534934,3.418729332,16.23289402,55.49587095,2378,1744,135.5,264.5,75,95,2332,1677.5,72.5,-14.5,23.5,11.5,20.01716738,5.855148342,0.360696517,N/A,0.248677249,0.120418848
49614,,0.166498692,0.042408377,0.34033732,1.485783262,0.500129594,0.74308418,91,140.5,161,454.5,611,241.5,43.5,72,101,189.5,560,141,0.373390558,0.251308901,0.502487562,2.24260355,5.925925926,1.476439791
49727,,N/A,0.405431937,1.922094075,3.334545719,0.465086182,1.550851136,90.5,99.5,141,205.5,78,94,40,29.5,44.5,-19.5,24,11,0.343347639,0.102966841,0.221393035,N/A,0.253968254,0.115183246
49546,,N/A,0.738848168,N/A,2.459227468,0.748342059,1.840343348,105,125.5,129,170.5,77.5,76.5,56,56,52.5,-64.5,25,-5.5,0.480686695,0.195462478,0.26119403,N/A,0.264550265,N/A
50371,cel-miR-269,N/A,6.361256545,N/A,3.181815292,1.427819727,4.543058641,309,275,196.5,147.5,64.5,69.5,262,202.5,99.5,-110,10.5,-11,2.248927039,0.706806283,0.495024876,N/A,0.111111111,N/A
47528,,N/A,2.340314136,N/A,2.657286056,0.536071956,1.424496534,131,143,174.5,122,62.5,75,80.5,74.5,97.5,-118.5,10.5,-8.5,0.690987124,0.260034904,0.485074627,N/A,0.111111111,N/A
49834,,N/A,0.934554974,N/A,7.281242111,0.354258462,2.579441635,124,94.5,109,88,60.5,59.5,75.5,25.5,50.5,-151.5,9,-20,0.64806867,0.089005236,0.251243781,N/A,0.095238095,N/A
