"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
1,10,12,,50368,126,51,74,43,60,47,45,44,-59,-2,3,-2,-8,-6,5,2
1,11,12,,47135,166,73,78,43,72,65,75,60,-27,21,3,-3,6,12,34,20
1,12,12,spike_control_h,10907,181,52,82,47,63,52,73,59,-25,2,10,1,-6,2,30,20
1,13,12,,50123,150,49,78,49,58,54,62,44,-67,0,4,4,-12,2,21,5
1,14,12,,25611,184,131,67,94,96,98,54,47,-23,86,8,50,25,51,10,8
1,15,12,,49795,183,78,68,70,65,51,81,49,-11,33,15,25,-9,8,37,11
1,1,13,,49143,169,56,64,46,61,58,68,48,47,9,13,2,-9,8,25,7
1,2,13,,49885,118,79,59,45,74,59,48,51,-8,14,2,-1,3,7,5,12
1,3,13,,49284,229,197,138,146,229,182,135,108,112,139,81,102,153,129,93,68
1,4,13,,48634,100,49,66,48,60,52,42,38,-23,-14,9,2,-20,-1,0,-1
1,5,13,,50091,122,60,74,56,70,50,63,49,-8,-8,15,11,0,-3,20,10
1,6,13,,48448,181,104,107,108,88,66,66,64,39,39,45,62,16,13,23,26
1,7,13,,49302,209,114,128,89,367,96,83,56,55,55,62,43,296,46,40,17
1,8,13,,50146,160,49,74,50,61,49,59,43,-9,-4,6,5,-10,-3,17,6
1,9,13,,49290,111,58,75,45,55,50,62,50,-53,9,4,-2,-16,-4,19,11
1,10,13,,49596,123,45,74,47,66,57,66,51,-50,-6,5,1,-3,5,24,12
1,11,13,cel-miR-241,49741,135,51,71,46,58,49,60,44,-45,4,3,-1,-9,-4,19,6
1,12,13,Empty,0,179,52,60,44,61,52,56,37,-18,4,-11,-3,-10,4,12,-2
1,13,13,,50374,139,56,76,53,66,49,66,53,-71,11,1,7,-3,1,23,15
1,14,13,,48566,129,60,76,56,54,53,62,48,-74,13,4,12,-15,5,18,9
1,15,13,,27305,148,107,73,100,194,69,74,52,-43,59,13,55,126,22,29,13
1,1,14,Hy3,13138,863,542,703,592,1174,775,1359,561,752,493,653,547,1101,723,1311,521
1,2,14,,50414,96,50,50,47,67,55,54,41,-23,-1,-4,1,-8,4,10,1
1,3,14,,49458,104,50,54,45,70,55,58,39,-23,0,-1,0,-5,1,13,-1
