"# This page contains raw intensities for all 8 slides.
# Column ""Block"": block number of each probe.
# Column ""Column"": column number of each probe.
# Column ""Row"": row number of each probe.
# Column ""Name"": the name of each miRNA/probe.
# Column ""ID"": array ID of the probes, each miRNA always has its unique probe, but some miRNAs may have two different probes.
# Column ""ForeGround"": the foreground intensity of each probe.
# Column ""ForeGround-BackGround"": the signal of the probe after background correction.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,ForeGround,,,,,,,,ForeGround-BackGround,,,,,,,
Block,Column,Row,Name,ID,1A_f,1B_f,2A_f,2B_f,3A_f,3B_f,4A_f,4B_f,1A_f_b,1B_f_b,2A_f_b,2B_f_b,3A_f_b,3B_f_b,4A_f_b,4B_f_b
36,15,10,,47425,95,59,49,46,61,56,62,52,-392,-63,2,0,-5,-9,-5,7
36,1,11,,48912,103,58,50,51,71,60,88,83,-358,-1,3,7,1,-6,40,35
36,2,11,,49123,104,53,57,60,65,52,73,75,-602,-13,12,16,0,-12,27,28
36,3,11,,49956,685,384,368,122,505,315,310,151,-42,310,321,78,443,248,261,108
36,4,11,,49688,85,71,45,44,56,63,60,59,-368,-6,-4,-1,-11,-6,10,15
36,5,11,,49900,120,109,76,107,378,235,100,92,-179,17,26,62,307,166,46,49
36,6,11,,49882,69,66,47,47,56,55,66,50,-226,-35,-1,2,-10,-13,5,5
36,7,11,,48646,101,73,54,48,69,59,75,56,-102,-28,7,3,3,-11,11,11
36,8,11,,49431,114,109,93,84,125,90,128,92,-77,25,47,36,57,20,70,48
36,9,11,,49659,78,102,52,49,99,55,67,56,-120,20,7,4,32,-13,5,10
36,10,11,,50157,94,71,66,60,65,74,82,68,-100,-19,21,13,-1,4,22,21
36,11,11,spike_control_e,10906,76,69,52,47,68,65,107,63,-133,-42,7,0,-5,-9,40,21
36,12,11,cel-miR-253*,49145,94,71,51,55,63,63,80,59,-182,-63,6,8,-6,-4,14,15
36,13,11,,49146,153,1032,292,795,1644,1226,851,1046,-318,878,245,749,1579,1154,787,1003
36,14,11,,47795,95,88,62,46,64,62,72,76,-755,-46,17,0,0,-9,7,35
36,15,11,,50118,795,395,182,208,354,214,312,121,-522,267,137,161,289,144,244,77
36,1,12,,50136,101,62,57,56,58,64,62,67,-193,7,9,8,-13,-10,10,21
36,2,12,,49080,103,68,64,48,69,59,79,89,-379,10,18,1,5,-9,31,44
36,3,12,,49819,118,58,57,56,61,59,68,51,-672,-6,9,11,-4,-7,22,9
36,4,12,,49863,171,72,74,59,62,73,91,64,-635,1,26,13,-2,3,42,20
36,5,12,,50330,84,59,48,46,48,60,67,54,-498,-21,-2,0,-19,-8,11,8
36,6,12,,48959,111,90,72,55,72,74,111,82,-275,3,25,10,5,7,55,40
36,7,12,,49188,85,54,48,51,59,54,75,45,-161,-47,-1,3,-7,-13,14,-4
36,8,12,,49441,79,66,56,49,56,59,72,50,-139,-30,8,1,-10,-10,15,6
36,9,12,,50345,86,60,50,48,54,61,67,55,-159,-25,1,2,-12,-8,5,10
36,10,12,,49125,77,69,56,50,56,57,78,57,-187,-14,7,4,-15,-12,21,13
36,11,12,,50122,261,98,50,48,68,73,49,48,-30,-1,1,2,-3,1,-14,4
36,12,12,spike_control_h,10907,107,67,53,53,63,68,94,57,-389,-60,6,8,-10,-2,32,14
36,13,12,,50241,103,68,54,50,74,68,60,56,-880,-76,8,4,7,-3,0,11
36,14,12,,49310,131,73,50,51,59,64,66,60,-1613,-63,2,5,-4,-9,0,19
36,15,12,,50253,370,83,56,57,70,69,77,57,-2277,-35,7,11,6,1,5,12
36,1,13,,47807,106,55,54,59,64,68,68,98,-157,-1,2,9,-8,-2,21,52
36,2,13,,47119,120,49,50,51,57,71,89,61,-249,-12,2,2,-11,2,43,13
36,3,13,cel-miR-245,49464,203,95,92,83,85,88,102,91,-275,37,40,38,17,22,55,46
36,4,13,cel-miR-82,50229,144,122,66,72,132,109,140,106,-527,55,18,27,64,45,92,62
36,5,13,,48185,203,148,83,103,168,122,141,111,-790,73,35,60,102,56,84,67
36,6,13,,48507,93,66,61,65,71,72,91,73,-873,-10,12,18,4,5,36,32
36,7,13,cel-miR-1021,49352,87,56,52,48,60,52,72,50,-510,-26,3,0,-8,-17,17,3
36,8,13,,49260,88,59,52,50,61,55,65,44,-351,-39,4,5,-7,-12,7,1
36,9,13,cel-miR-236,50073,74,59,56,52,70,67,89,60,-380,-37,8,5,4,-3,25,15
36,10,13,,49505,85,61,93,106,91,65,74,68,-338,-20,42,58,28,-5,13,25
36,11,13,,49395,82,63,54,52,59,59,60,52,-404,-26,6,5,-5,-11,1,6
36,12,13,,49923,213,126,247,162,96,105,109,100,-662,16,201,115,32,36,50,56
36,13,13,,50418,84,64,53,48,52,56,71,44,-1453,-75,4,1,-15,-9,14,-3
36,14,13,,50282,181,245,80,75,106,91,98,87,-2037,97,32,28,40,23,36,40
36,15,13,,50218,146,98,52,46,59,66,76,48,-2645,-26,4,-1,-6,-1,11,6
36,1,14,Hy3,13138,745,613,610,678,814,418,896,589,401,560,563,633,742,352,849,542
36,2,14,,49939,154,63,52,44,59,78,58,58,-237,6,4,-2,-10,12,12,13
36,3,14,,50213,118,96,85,66,77,68,89,67,-201,45,35,21,12,1,43,24
36,4,14,,50142,85,55,53,48,57,75,61,54,-270,-6,6,1,-9,10,12,11
36,5,14,,50254,107,57,60,55,57,59,70,55,-344,-16,12,10,-11,-6,20,11
36,6,14,,50340,162,111,63,64,79,79,90,76,-581,43,14,15,12,13,35,32
36,7,14,,48990,97,54,48,51,63,58,69,48,-762,-14,0,4,-3,-10,6,4
36,8,14,,47309,90,60,56,46,59,53,59,51,-761,-25,7,-1,-7,-16,-5,8
36,9,14,,49550,210,113,76,67,85,77,122,112,-566,15,29,19,16,7,55,68
36,10,14,,50211,106,71,55,51,55,69,80,51,-548,-22,10,5,-14,1,12,8
36,11,14,,49153,103,75,60,56,69,67,96,66,-648,-13,13,7,-1,2,39,20
36,12,14,,49436,81,62,58,61,60,63,101,59,-1024,-27,13,11,-6,-5,43,16
36,13,14,Empty,0,1511,127,51,48,64,70,74,43,59,3,3,1,-4,1,13,-6
36,14,14,Hy3,13138,2128,510,533,801,585,219,527,534,612,361,483,756,520,148,455,490
36,15,14,Hy3,13138,1956,437,398,400,630,197,725,407,566,303,350,351,566,127,653,363
37,1,1,Hy3,13138,2809,1625,1788,1250,1417,701,1204,744,2521,614,1734,1172,1186,593,925,685
37,2,1,,17942,243,157,109,260,206,164,159,113,-46,-1504,58,183,-191,49,-48,55
37,3,1,,42839,108,143,72,112,124,76,124,74,-143,-2125,20,33,-554,-39,-55,21
37,4,1,,46483,196,119,66,109,135,102,110,69,-74,-2221,14,32,-788,-15,-42,16
37,5,1,,11062,113,124,64,89,118,85,101,63,-240,-1784,10,22,-1204,-34,-36,12
37,6,1,,10138,128,92,60,77,80,79,83,58,-334,-1219,8,4,-1299,-45,-44,4
37,7,1,,32809,242,186,84,85,152,112,130,74,-363,-640,32,15,-1510,-35,-24,22
37,8,1,,11128,121,98,51,80,85,69,82,66,-616,-406,-2,2,-58,-82,-79,16
37,9,1,,28876,119,63,67,92,64,92,123,70,-614,-307,16,3,-1,-52,1,20
37,10,1,,46654,127,71,61,66,68,76,89,59,-610,-299,7,-14,9,-64,-18,11
37,11,1,,42711,103,100,68,64,60,85,95,60,-681,-471,12,-9,1,-58,-12,6
37,12,1,,17411,481,305,79,204,74,118,120,84,-491,-539,24,129,10,-28,10,30
37,13,1,,46684,262,257,71,89,86,101,117,79,-996,-554,15,11,-16,-39,-24,26
37,14,1,,11240,220,148,61,104,97,115,125,60,-1564,-241,5,33,-501,-28,-122,11
37,15,1,Hy3,13138,2232,735,887,771,1331,780,2377,726,538,547,831,699,487,644,1869,677
37,1,2,,28164,118,101,60,97,101,67,126,69,-162,-639,7,23,-168,-38,-39,12
37,2,2,,42923,1337,126,244,401,895,1000,376,189,1028,-1042,191,322,434,880,229,133
37,3,2,,5250,116,167,61,77,121,74,121,59,-144,-1398,7,-5,-605,-41,-15,9
37,4,2,,42887,108,111,61,92,120,103,86,68,-162,-1521,9,13,-722,-18,-56,15
37,5,2,,11234,165,211,125,116,179,92,126,58,-178,-1095,71,44,-1209,-26,-6,7
37,6,2,,42959,160,131,63,61,107,74,106,63,-301,-877,11,-9,-1228,-54,-24,11
37,7,2,,13179,157,110,64,88,122,84,114,56,-497,-529,12,17,-1565,-73,-25,3
37,8,2,,42987,114,104,55,57,68,65,108,60,-690,-305,4,-24,-41,-92,-16,9
37,9,2,,42732,342,164,83,110,105,106,154,67,-495,-106,30,20,42,-47,32,15
37,10,2,,19581,3453,180,1488,1165,99,2720,2119,515,2612,-86,1435,1087,41,2559,2006,464
37,11,2,,11105,656,294,113,724,97,234,202,96,-44,-158,60,649,35,76,102,48
37,12,2,,11224,308,211,111,552,81,84,124,80,-612,-584,58,467,14,-69,6,33
37,13,2,,42577,1233,583,344,188,178,317,286,285,20,-386,287,110,25,167,133,237
37,14,2,,42630,454,358,75,234,130,265,277,67,-1195,-208,22,164,-551,113,-5,21
37,15,2,,17565,386,679,97,142,341,241,256,53,-1095,454,42,73,-597,95,-385,5
37,1,3,,42528,164,131,67,98,139,90,113,93,-99,-406,14,23,-210,-16,-15,32
37,2,3,,46227,106,94,61,68,96,84,124,62,-196,-633,6,-9,-412,-25,-2,7
37,3,3,spike_control_i,14257,144,122,75,116,124,108,140,99,-136,-867,21,34,-641,-4,14,49
37,4,3,,11097,579,173,391,2235,1205,1390,750,1136,307,-904,335,2156,272,1276,613,1086
37,5,3,,46855,117,121,60,74,96,73,102,62,-211,-839,8,0,-1199,-49,-29,9
37,6,3,,46309,353,241,168,161,159,189,309,123,-92,-547,116,88,-1052,57,187,73
37,7,3,,17506,281,87,89,275,160,150,150,59,-346,-430,37,204,-1679,-10,34,6
37,8,3,,19601,306,183,115,104,97,130,139,83,-458,-137,62,22,-2,-29,35,32
37,9,3,Empty,0,762,193,59,81,53,136,118,58,-62,-12,8,-8,-9,-20,6,8
37,10,3,,50348,326,103,107,158,112,197,190,118,-445,-86,53,69,55,46,78,69
37,11,3,cel-miR-1828,50225,326,139,96,137,72,121,154,72,-389,-162,41,60,12,-43,54,24
37,12,3,,49809,316,102,62,105,62,171,172,62,-579,-519,11,18,-13,-4,56,14
37,13,3,,49974,511,396,109,734,157,122,142,65,-491,-537,56,653,-136,-52,-8,14
37,14,3,cel-miR-227,49733,108,101,60,73,74,75,117,66,-1019,-598,6,4,-686,-89,-113,17
37,15,3,,47179,129,80,73,66,73,75,98,52,-962,-208,16,-3,-909,-92,-206,3
37,1,4,,49082,111,84,53,52,109,78,124,57,-162,-363,1,-18,-240,-33,16,-2
37,2,4,,48660,309,292,155,138,258,174,232,134,5,-223,103,65,-232,63,126,84
37,3,4,,48156,115,129,66,96,84,78,85,66,-161,-521,14,14,-562,-37,-21,14
37,4,4,spike_control_a,14261,103,84,51,84,90,67,87,56,-160,-646,-1,4,-903,-42,-25,5
37,5,4,,49054,161,154,70,91,124,99,101,61,-159,-565,18,16,-975,-23,-12,10
37,6,4,,50383,116,65,50,57,82,89,76,54,-315,-522,-5,-16,-864,-44,-39,3
37,7,4,cel-miR-73,49707,273,247,123,1878,224,124,179,89,-294,-163,72,1804,-727,-42,61,38
37,8,4,,49996,203,128,58,105,79,110,131,68,-473,-127,5,22,-4,-56,26,16
37,9,4,,50297,126,80,58,82,66,87,106,66,-632,-72,6,-11,3,-72,-13,16
37,10,4,,11069,252,109,76,70,86,106,105,57,-506,-14,24,-18,27,-53,-23,8
37,11,4,,49391,185,95,66,91,71,97,89,63,-577,-79,10,11,9,-104,-23,14
37,12,4,,49177,119,88,60,90,68,87,86,62,-677,-353,8,4,-24,-204,-27,16
37,13,4,,47743,98,102,67,68,78,76,108,60,-753,-641,14,-17,-351,-299,-20,12
37,14,4,,49605,194,160,68,128,138,113,130,62,-660,-554,15,55,-672,-188,-48,14
37,15,4,,49164,277,97,60,81,91,90,101,67,-343,-242,6,14,-883,-167,-96,20
37,1,5,,47402,93,87,60,79,91,83,123,68,-174,-296,8,8,-261,-28,33,12
37,2,5,,50171,126,106,67,107,111,77,99,66,-188,-322,16,31,-410,-34,9,17
37,3,5,,50133,153,80,75,110,145,114,218,106,-139,-398,25,29,-562,5,122,54
37,4,5,,49124,106,107,66,80,105,72,97,55,-164,-428,14,0,-988,-39,1,3
37,5,5,spike_control_f,14262,83,88,52,72,91,80,118,64,-222,-464,1,-4,-891,-36,18,13
37,6,5,,49678,119,112,69,85,99,92,112,68,-270,-362,18,9,-666,-38,5,18
37,7,5,,47600,121,88,62,80,79,95,110,54,-366,-249,11,4,-231,-85,-8,3
37,8,5,cel-miR-248,49976,114,86,63,69,68,82,107,66,-453,-111,8,-17,-6,-98,-12,18
37,9,5,,49209,674,59,160,489,67,352,311,82,-5,-55,108,397,5,170,170,36
37,10,5,,42731,294,72,71,288,66,199,226,70,-400,-16,18,197,6,13,27,20
37,11,5,cel-miR-354,49050,312,102,83,135,82,147,510,68,-396,-4,28,51,16,-112,348,19
37,12,5,,49500,100,74,55,75,76,86,83,56,-582,-142,2,-11,-63,-549,-39,10
37,13,5,,48981,265,173,119,87,175,246,130,85,-448,-364,66,1,-372,-906,4,36
37,14,5,,48167,3994,1653,237,486,1079,1204,772,207,3304,954,182,411,115,75,614,156
37,15,5,,49876,502,126,94,137,249,223,105,82,-8,-282,41,71,-911,-701,-32,34
37,1,6,,50376,119,104,61,111,94,86,110,76,-142,-211,12,41,-323,-25,22,23
37,2,6,,48933,96,86,61,80,94,68,87,62,-216,-293,11,2,-426,-41,6,13
37,3,6,cel-miR-62,49704,83,76,55,63,93,58,70,54,-211,-341,3,-17,-665,-55,-21,-1
37,4,6,,49559,135,120,69,101,138,79,101,67,-138,-318,18,19,-1134,-41,13,14
37,5,6,,50138,105,83,53,67,81,87,93,64,-199,-364,3,-6,-860,-29,-6,14
37,6,6,spike_control_b,14263,112,111,60,74,94,73,108,63,-277,-281,9,-4,-536,-59,8,15
37,7,6,,50099,153,105,64,91,90,95,111,53,-314,-160,12,10,-81,-92,5,4
37,8,6,,49087,118,83,50,63,56,84,104,56,-437,-67,-4,-24,-12,-99,-6,6
37,9,6,,50008,126,82,63,109,69,101,116,70,-543,-7,11,17,6,-86,-37,19
37,10,6,,50087,119,70,55,76,68,78,108,50,-551,7,3,-14,7,-112,-126,0
37,11,6,,-1,106,69,53,59,68,83,113,56,-560,-6,2,-25,-8,-170,-108,6
37,12,6,,48939,121,84,54,58,75,92,106,60,-497,-41,2,-35,-203,-497,-36,12
37,13,6,,49289,121,104,60,85,104,109,96,56,-489,-261,8,-4,-597,-1364,-39,10
37,14,6,cel-miR-262,49180,96,104,56,67,89,92,100,64,-460,-490,0,-6,-938,-1754,-31,16
37,15,6,,49451,130,112,64,93,91,124,111,57,-402,-342,6,26,-1064,-1630,11,11
37,1,7,cel-miR-46,49334,120,95,50,73,90,79,89,60,-126,-168,-1,-1,-357,-32,3,6
37,2,7,cel-miR-55,49635,363,335,374,465,373,257,467,298,56,-4,319,388,-222,146,388,247
37,3,7,,49987,116,132,71,97,101,96,85,61,-191,-279,20,18,-710,-14,-1,13
37,4,7,,49595,102,88,62,87,96,78,83,63,-193,-320,12,7,-1269,-38,-9,11
37,5,7,,50195,166,121,81,227,136,106,102,75,-158,-279,28,145,-761,-10,2,25
37,6,7,cel-miR-64,50463,124,78,48,60,95,81,92,58,-273,-243,-5,-20,-456,-56,-11,8
37,7,7,spike_control_c,14264,118,79,61,77,76,72,85,57,-392,-121,10,-7,-66,-115,-29,8
37,8,7,,50198,117,72,50,62,66,80,94,56,-521,-41,-3,-30,-4,-113,-29,6
37,9,7,,25557,964,65,166,214,65,651,360,100,219,-7,115,116,3,443,210,49
37,10,7,,49092,127,60,69,74,72,92,96,59,-603,1,17,-15,10,-95,-62,9
37,11,7,,50026,154,71,65,89,81,114,116,69,-511,10,14,3,-23,-90,-36,17
37,12,7,,49425,140,91,72,91,100,90,121,67,-470,6,23,2,-333,-265,-27,17
37,13,7,,24136,2272,77,782,2965,1358,1397,2438,722,1708,-159,731,2877,446,611,2254,674
37,14,7,,49166,147,125,64,80,99,107,99,62,-351,-402,10,8,-1161,-847,-30,15
37,15,7,,49591,96,82,67,88,83,90,82,58,-351,-438,11,21,-1069,-778,-14,14
37,1,8,,47498,100,73,60,68,82,75,89,54,-127,-188,8,-1,-362,-36,4,1
37,2,8,,47279,108,89,52,56,109,77,83,52,-195,-249,1,-21,-512,-35,2,-3
37,3,8,,49667,107,101,58,72,94,80,78,48,-214,-346,7,-10,-760,-31,-3,-5
37,4,8,,49894,101,87,63,67,88,74,92,59,-203,-367,10,-11,-1595,-44,4,6
37,5,8,,48547,153,196,66,71,132,87,98,60,-182,-223,12,-12,-741,-37,0,8
37,6,8,,50407,330,95,91,165,176,170,426,125,-102,-187,37,81,-314,25,316,74
37,7,8,,50438,146,91,95,579,98,99,118,70,-448,-52,43,496,-48,-100,-34,17
37,8,8,spike_control_j,10899,114,63,63,76,83,82,141,53,-595,-26,6,-17,3,-113,-68,1
37,9,8,,49962,106,57,59,69,71,66,95,51,-678,-5,7,-27,5,-131,-144,-1
37,10,8,,50068,78,55,64,77,61,64,93,58,-687,3,13,-8,-9,-118,-99,10
37,11,8,,49947,125,48,56,82,57,90,79,53,-580,-6,6,-7,-145,-116,-73,5
37,12,8,,47442,96,65,54,61,95,81,91,60,-521,-3,2,-32,-437,-198,-40,15
37,13,8,,49629,135,103,63,113,103,111,121,61,-403,-57,7,25,-705,-334,-24,14
37,14,8,,27348,338,109,72,101,255,268,185,60,-122,-365,16,25,-973,-212,63,14
37,15,8,,49614,328,238,612,366,288,260,210,147,-114,-325,557,296,-749,-113,115,102
37,1,9,,49727,157,136,83,90,147,85,122,61,-64,-195,28,19,-272,-24,32,12
37,2,9,,49546,152,215,81,175,123,88,100,75,-140,-255,30,100,-474,-20,17,22
37,3,9,cel-miR-269,50371,145,112,64,71,119,115,159,79,-200,-603,12,-12,-818,1,80,26
37,4,9,,47528,105,105,65,90,105,84,93,78,-220,-638,11,9,-1462,-36,7,27
37,5,9,,49834,80,86,65,65,78,79,113,64,-262,-437,13,-17,-884,-45,18,14
37,6,9,,49228,126,94,70,94,119,96,115,48,-335,-179,15,9,-360,-55,-13,-1
37,7,9,,50043,1242,104,534,965,111,676,633,349,606,-7,483,876,-253,447,356,299
37,8,9,,49793,91,59,49,65,74,69,93,52,-622,-5,-4,-35,-73,-146,-395,1
37,9,9,spike_control_d,10904,124,64,61,95,73,111,174,65,-628,13,9,-3,-8,-84,-483,15
37,10,9,,49781,152,63,63,102,79,110,164,62,-605,16,9,5,-56,-80,-253,13
37,11,9,,48019,95,52,51,58,86,86,68,49,-608,4,-2,-30,-344,-162,-91,1
37,12,9,,47100,194,69,96,369,205,158,98,57,-423,11,41,281,-372,-387,-9,12
37,13,9,,49685,237,66,111,122,182,337,182,79,-303,-45,54,37,-589,-1182,69,31
37,14,9,,49336,79,73,70,61,89,71,93,57,-421,-316,14,-19,-957,-1035,-36,11
37,15,9,cel-miR-230,49702,673,206,111,105,379,304,452,110,131,-379,56,38,-548,-130,336,65
37,1,10,,50042,139,164,77,91,135,108,120,76,-83,-320,22,22,-243,-2,38,25
37,2,10,,48796,96,100,53,78,108,68,79,59,-191,-724,2,0,-479,-41,2,7
37,3,10,,49773,82,83,53,50,76,79,82,45,-278,-1554,3,-32,-861,-33,0,-9
37,4,10,cel-miR-357,50227,98,165,59,77,108,66,73,58,-235,-1860,5,-4,-1234,-54,-7,7
37,5,10,,50328,2530,2615,2835,10287,6409,5363,2312,6299,2169,1792,2783,10201,5345,5238,2217,6248
37,6,10,,47589,96,77,48,66,81,70,93,56,-365,-205,-4,-23,-367,-86,-38,1
37,7,10,,50132,107,70,64,60,85,77,117,60,-515,-27,9,-33,-945,-137,-231,5
37,8,10,,47412,86,66,57,64,88,85,142,55,-533,8,-22,-37,-779,-127,-754,-2
37,9,10,,48966,98,62,75,75,79,85,219,61,-508,14,-76,-25,-120,-109,-952,10
37,10,10,spike_control_g,10905,94,48,59,66,115,75,168,45,-552,-1,-85,-27,-248,-129,-489,-4
37,11,10,,49440,85,70,71,80,81,86,108,67,-556,22,-10,-10,-416,-207,-93,19
37,12,10,,50154,78,59,54,58,90,106,94,55,-530,7,-3,-29,-469,-908,-7,9
37,13,10,,50265,507,75,224,350,387,597,821,149,-57,-6,169,266,-380,-1524,710,103
37,14,10,,49523,115,95,67,63,93,97,104,53,-416,-176,7,-15,-926,-1050,-11,5
37,15,10,,50447,76,90,58,55,80,87,85,56,-534,-460,2,-16,-673,-253,-37,10
37,1,11,,49136,87,109,56,57,86,89,85,59,-120,-619,3,-12,-366,-19,-2,7
37,2,11,,49386,94,139,59,72,104,81,90,52,-161,-1013,5,-3,-631,-29,9,-2
37,3,11,,50427,130,181,68,76,128,104,82,59,-197,-2138,18,-8,-846,-11,5,3
37,4,11,,49375,115,254,62,93,119,104,94,74,-252,-2617,11,12,-844,-18,6,20
37,5,11,,48754,386,797,165,500,955,302,182,279,-6,-517,114,418,199,178,94,224
37,6,11,,47288,304,317,132,133,209,164,209,91,-191,-29,80,49,-203,13,80,32
37,7,11,,47110,220,123,70,111,164,142,175,86,-396,31,7,24,-256,-66,-121,27
37,8,11,,48322,117,58,76,79,85,101,173,65,-422,4,-71,-16,-293,-111,-401,6
37,9,11,cel-miR-50,49766,93,68,101,98,92,110,178,76,-410,22,-281,1,-207,-95,-494,20
37,10,11,,49892,89,56,75,78,78,75,100,57,-428,9,-260,-14,-265,-129,-297,9
37,11,11,spike_control_e,10906,94,64,78,97,102,105,110,70,-437,18,-48,6,-334,-170,-58,18
37,12,11,,48940,117,55,64,68,104,110,95,54,-445,6,4,-20,-437,-324,-9,4
37,13,11,,49154,176,71,86,115,188,191,197,70,-427,11,31,24,-618,-382,99,22
37,14,11,,50045,128,109,84,91,116,124,105,65,-476,-60,29,14,-889,-231,5,16
37,15,11,,48028,147,198,82,95,169,136,113,70,-552,-301,26,27,-595,-80,2,24
37,1,12,,48986,94,100,56,54,95,78,88,60,-108,-449,4,-17,-495,-35,0,10
37,2,12,,49331,93,123,54,92,105,83,88,60,-130,-879,4,13,-835,-36,7,6
37,3,12,,50437,261,271,106,355,228,218,295,210,-23,-1566,56,273,-981,101,210,159
37,4,12,cel-miR-353,49553,106,224,62,66,93,79,94,62,-269,-2715,11,-15,-699,-39,-6,9
37,5,12,,50027,229,106,107,225,158,268,329,169,-201,-1810,53,139,-415,138,231,117
37,6,12,,49115,249,257,94,144,168,159,141,76,-376,-223,40,62,-266,4,23,23
37,7,12,,49307,138,86,66,96,104,112,149,59,-575,-16,7,10,-222,-108,-29,1
37,8,12,,48420,109,54,79,101,102,88,134,71,-495,3,-19,5,-170,-130,-100,16
37,9,12,,48305,101,59,75,68,87,86,120,55,-411,14,-141,-29,-220,-115,-133,3
37,10,12,,50368,81,51,64,52,77,79,83,52,-389,4,-131,-41,-299,-123,-89,3
37,11,12,,47135,150,82,82,84,118,130,170,80,-314,35,6,1,-381,-102,58,30
37,12,12,spike_control_h,10907,123,72,58,84,105,100,105,63,-431,26,4,-7,-576,-140,21,12
37,13,12,,50123,105,63,58,69,93,99,98,67,-583,10,4,-18,-863,-122,3,17
37,14,12,,25611,351,72,133,142,259,179,137,62,-365,-39,79,61,-1005,-23,34,12
37,15,12,,49795,227,139,86,147,137,106,214,66,-552,-278,31,66,-583,-79,111,16
37,1,13,,49143,121,115,65,57,229,98,89,66,-80,-220,11,-11,-562,-18,10,14
37,2,13,,49885,216,183,70,74,224,121,253,82,2,-388,18,-6,-1163,13,176,29
37,3,13,,49284,418,791,165,198,657,413,297,208,126,-393,114,112,-795,298,215,155
37,4,13,,48634,83,61,54,48,77,76,72,52,-302,-1153,4,-32,-705,-46,-20,2
37,5,13,,50091,112,166,61,110,114,103,108,61,-423,-1474,9,27,-471,-30,16,13
37,6,13,,48448,282,422,145,148,171,109,94,63,-609,-129,91,61,-296,-51,-4,12
37,7,13,,49302,294,89,139,172,406,227,124,85,-853,-6,89,86,16,-17,14,34
37,8,13,,50146,112,67,57,93,95,110,116,63,-859,15,-1,-6,-225,-112,-1,14
37,9,13,,49290,104,59,63,82,105,103,116,58,-641,14,-1,-14,-233,-104,-1,9
37,10,13,,49596,108,56,61,102,105,111,91,61,-502,14,-1,11,-292,-90,-12,14
37,11,13,cel-miR-241,49741,150,55,65,89,142,109,85,56,-418,10,12,6,-452,-73,0,6
37,12,13,Empty,0,628,48,52,89,1770,165,108,50,-47,3,-2,-6,513,-13,24,-1
37,13,13,,50374,122,57,72,99,88,101,104,62,-816,9,17,16,-1025,-78,10,9
37,14,13,,48566,107,58,75,78,141,88,135,60,-842,-24,17,-3,-1141,-90,34,13
37,15,13,,27305,223,104,110,262,327,153,126,66,-591,-206,52,185,-385,-30,31,18
37,1,14,Hy3,13138,1605,1189,747,635,3027,751,1015,525,1381,932,696,563,1789,640,931,471
37,2,14,,50414,84,81,60,53,92,77,70,53,-156,-291,4,-21,-1252,-32,-10,4
37,3,14,,49458,111,116,53,63,158,97,89,51,-196,-630,-1,-15,-931,-25,5,-1
37,4,14,,49393,98,128,50,67,78,77,95,54,-320,-960,-2,-16,-828,-48,7,2
37,5,14,cel-miR-75,49868,97,136,60,57,99,120,117,69,-588,-1115,9,-29,-898,-12,28,20
37,6,14,,49883,132,99,69,133,235,108,96,69,-1146,-251,16,44,-615,-76,-1,19
37,7,14,,50273,1245,62,515,780,663,916,3667,447,-717,-14,464,693,82,617,3584,398
37,8,14,,49700,106,60,51,74,87,100,89,54,-1592,8,-5,-18,-388,-136,-5,5
37,9,14,,49384,116,61,56,80,97,97,91,51,-1026,16,2,-19,-363,-108,2,0
37,10,14,,49040,94,60,77,78,118,94,131,85,-969,15,24,-19,-362,-112,44,37
37,11,14,,49679,103,51,58,64,105,89,74,55,-838,8,4,-23,-499,-101,-4,7
37,12,14,,47178,96,53,53,53,90,89,72,46,-945,10,-1,-36,-827,-77,-16,-3
37,13,14,Empty,0,1570,52,56,76,904,148,100,54,111,4,0,-4,-93,-24,6,1
37,14,14,Hy3,13138,1818,1051,473,522,1706,483,881,502,619,981,419,441,575,296,780,451
37,15,14,Hy3,13138,1299,1268,546,518,1182,521,632,405,415,1059,487,444,484,340,530,353
38,1,1,Hy3,13138,1782,1229,1587,1439,1938,1527,5744,5613,1195,1010,1531,1374,1857,1420,5669,5560
38,2,1,,4700,168,70,63,69,69,78,90,71,-366,-30,8,5,-10,-23,26,22
38,3,1,,11038,258,118,139,131,113,126,138,86,-276,62,85,65,32,27,81,32
38,4,1,,30442,99,89,73,61,87,100,61,69,-547,34,18,-6,6,-5,11,16
38,5,1,,13147,125,61,64,80,65,82,93,83,-764,11,11,3,-10,-43,39,26
38,6,1,,42761,132,63,73,110,91,105,91,67,-1147,9,18,28,15,-52,38,10
38,7,1,,10988,114,64,53,69,71,73,76,62,-1808,8,-1,-14,-4,-150,28,8
38,8,1,,11165,295,68,73,78,74,116,79,88,-2358,12,18,3,-5,-158,32,25
38,9,1,,42719,411,96,107,119,107,151,129,107,-1919,41,54,38,30,-118,81,48
38,10,1,,42957,258,134,81,105,149,179,97,74,-1803,81,28,30,74,-22,46,25
38,11,1,,42525,174,68,67,101,70,94,80,68,-2228,15,13,25,-1,-37,30,12
38,12,1,,42910,238,63,69,69,77,90,78,89,-2250,10,13,5,4,-24,28,24
38,13,1,,27536,146,61,66,75,76,82,93,75,-1399,8,13,11,2,-31,43,15
38,14,1,,10944,101,59,59,61,69,80,64,99,-756,4,4,3,-6,-51,13,39
